,Lon,Lat,grid_coords
210,-92.875,16.625,"(66, 2)"
211,-92.875,16.875,"(67, 2)"
212,-92.875,17.125,"(68, 2)"
213,-92.875,17.375,"(69, 2)"
214,-92.875,17.625,"(70, 2)"
215,-92.875,17.875,"(71, 2)"
216,-92.625,0.125,"(0, 3)"
217,-92.625,0.375,"(1, 3)"
218,-92.625,0.625,"(2, 3)"
219,-92.625,0.875,"(3, 3)"
220,-92.625,1.125,"(4, 3)"
221,-92.625,1.375,"(5, 3)"
222,-92.625,1.625,"(6, 3)"
223,-92.625,1.875,"(7, 3)"
224,-92.625,2.125,"(8, 3)"
225,-92.625,2.375,"(9, 3)"
226,-92.625,2.625,"(10, 3)"
227,-92.625,2.875,"(11, 3)"
228,-92.625,3.125,"(12, 3)"
229,-92.625,3.375,"(13, 3)"
230,-92.625,3.625,"(14, 3)"
231,-92.625,3.875,"(15, 3)"
232,-92.625,4.125,"(16, 3)"
233,-92.625,4.375,"(17, 3)"
234,-92.625,4.625,"(18, 3)"
235,-92.625,4.875,"(19, 3)"
236,-92.625,5.125,"(20, 3)"
237,-92.625,5.375,"(21, 3)"
238,-92.625,5.625,"(22, 3)"
239,-92.625,5.875,"(23, 3)"
240,-92.625,6.125,"(24, 3)"
241,-92.625,6.375,"(25, 3)"
242,-92.625,6.625,"(26, 3)"
243,-92.625,6.875,"(27, 3)"
244,-92.625,7.125,"(28, 3)"
245,-92.625,7.375,"(29, 3)"
246,-92.625,7.625,"(30, 3)"
247,-92.625,7.875,"(31, 3)"
248,-92.625,8.125,"(32, 3)"
249,-92.625,8.375,"(33, 3)"
250,-92.625,8.625,"(34, 3)"
251,-92.625,8.875,"(35, 3)"
252,-92.625,9.125,"(36, 3)"
253,-92.625,9.375,"(37, 3)"
254,-92.625,9.625,"(38, 3)"
255,-92.625,9.875,"(39, 3)"
256,-92.625,10.125,"(40, 3)"
257,-92.625,10.375,"(41, 3)"
258,-92.625,10.625,"(42, 3)"
259,-92.625,10.875,"(43, 3)"
260,-92.625,11.125,"(44, 3)"
261,-92.625,11.375,"(45, 3)"
262,-92.625,11.625,"(46, 3)"
263,-92.625,11.875,"(47, 3)"
264,-92.625,12.125,"(48, 3)"
265,-92.625,12.375,"(49, 3)"
266,-92.625,12.625,"(50, 3)"
267,-92.625,12.875,"(51, 3)"
268,-92.625,13.125,"(52, 3)"
269,-92.625,13.375,"(53, 3)"
270,-92.625,13.625,"(54, 3)"
271,-92.625,13.875,"(55, 3)"
272,-92.625,14.125,"(56, 3)"
273,-92.625,14.375,"(57, 3)"
274,-92.625,14.625,"(58, 3)"
275,-92.625,14.875,"(59, 3)"
276,-92.625,15.125,"(60, 3)"
277,-92.625,15.375,"(61, 3)"
278,-92.625,15.625,"(62, 3)"
279,-92.625,15.875,"(63, 3)"
280,-92.625,16.125,"(64, 3)"
281,-92.625,16.375,"(65, 3)"
282,-92.625,16.625,"(66, 3)"
283,-92.625,16.875,"(67, 3)"
284,-92.625,17.125,"(68, 3)"
285,-92.625,17.375,"(69, 3)"
286,-92.625,17.625,"(70, 3)"
287,-92.625,17.875,"(71, 3)"
288,-92.375,0.125,"(0, 4)"
289,-92.375,0.375,"(1, 4)"
290,-92.375,0.625,"(2, 4)"
291,-92.375,0.875,"(3, 4)"
292,-92.375,1.125,"(4, 4)"
293,-92.375,1.375,"(5, 4)"
294,-92.375,1.625,"(6, 4)"
295,-92.375,1.875,"(7, 4)"
296,-92.375,2.125,"(8, 4)"
297,-92.375,2.375,"(9, 4)"
298,-92.375,2.625,"(10, 4)"
299,-92.375,2.875,"(11, 4)"
300,-92.375,3.125,"(12, 4)"
301,-92.375,3.375,"(13, 4)"
302,-92.375,3.625,"(14, 4)"
303,-92.375,3.875,"(15, 4)"
304,-92.375,4.125,"(16, 4)"
305,-92.375,4.375,"(17, 4)"
306,-92.375,4.625,"(18, 4)"
307,-92.375,4.875,"(19, 4)"
308,-92.375,5.125,"(20, 4)"
309,-92.375,5.375,"(21, 4)"
310,-92.375,5.625,"(22, 4)"
311,-92.375,5.875,"(23, 4)"
312,-92.375,6.125,"(24, 4)"
313,-92.375,6.375,"(25, 4)"
314,-92.375,6.625,"(26, 4)"
315,-92.375,6.875,"(27, 4)"
316,-92.375,7.125,"(28, 4)"
317,-92.375,7.375,"(29, 4)"
318,-92.375,7.625,"(30, 4)"
319,-92.375,7.875,"(31, 4)"
320,-92.375,8.125,"(32, 4)"
321,-92.375,8.375,"(33, 4)"
322,-92.375,8.625,"(34, 4)"
323,-92.375,8.875,"(35, 4)"
324,-92.375,9.125,"(36, 4)"
325,-92.375,9.375,"(37, 4)"
326,-92.375,9.625,"(38, 4)"
327,-92.375,9.875,"(39, 4)"
328,-92.375,10.125,"(40, 4)"
329,-92.375,10.375,"(41, 4)"
330,-92.375,10.625,"(42, 4)"
331,-92.375,10.875,"(43, 4)"
332,-92.375,11.125,"(44, 4)"
333,-92.375,11.375,"(45, 4)"
334,-92.375,11.625,"(46, 4)"
335,-92.375,11.875,"(47, 4)"
336,-92.375,12.125,"(48, 4)"
337,-92.375,12.375,"(49, 4)"
338,-92.375,12.625,"(50, 4)"
339,-92.375,12.875,"(51, 4)"
340,-92.375,13.125,"(52, 4)"
341,-92.375,13.375,"(53, 4)"
342,-92.375,13.625,"(54, 4)"
343,-92.375,13.875,"(55, 4)"
344,-92.375,14.125,"(56, 4)"
345,-92.375,14.375,"(57, 4)"
346,-92.375,14.625,"(58, 4)"
347,-92.375,14.875,"(59, 4)"
348,-92.375,15.125,"(60, 4)"
349,-92.375,15.375,"(61, 4)"
350,-92.375,15.625,"(62, 4)"
351,-92.375,15.875,"(63, 4)"
352,-92.375,16.125,"(64, 4)"
353,-92.375,16.375,"(65, 4)"
354,-92.375,16.625,"(66, 4)"
355,-92.375,16.875,"(67, 4)"
356,-92.375,17.125,"(68, 4)"
357,-92.375,17.375,"(69, 4)"
358,-92.375,17.625,"(70, 4)"
359,-92.375,17.875,"(71, 4)"
360,-92.125,0.125,"(0, 5)"
361,-92.125,0.375,"(1, 5)"
362,-92.125,0.625,"(2, 5)"
363,-92.125,0.875,"(3, 5)"
364,-92.125,1.125,"(4, 5)"
365,-92.125,1.375,"(5, 5)"
366,-92.125,1.625,"(6, 5)"
367,-92.125,1.875,"(7, 5)"
368,-92.125,2.125,"(8, 5)"
369,-92.125,2.375,"(9, 5)"
370,-92.125,2.625,"(10, 5)"
371,-92.125,2.875,"(11, 5)"
372,-92.125,3.125,"(12, 5)"
373,-92.125,3.375,"(13, 5)"
374,-92.125,3.625,"(14, 5)"
375,-92.125,3.875,"(15, 5)"
376,-92.125,4.125,"(16, 5)"
377,-92.125,4.375,"(17, 5)"
