idx,Longitude,Latitude
1,-84.875,9.125
1,-84.625,8.375
1,-84.375,9.375
1,-83.875,16.375
1,-83.875,17.375
1,-83.875,7.625
1,-83.625,7.875
1,-83.125,16.375
1,-83.125,17.625
1,-83.125,7.625
1,-82.375,10.375
1,-82.625,8.125
1,-82.125,17.875
1,-82.125,11.875
1,-82.125,9.625
1,-82.375,7.125
1,-81.625,12.875
1,-81.875,1.375
1,-81.875,6.625
1,-81.375,17.875
1,-81.625,10.375
1,-81.625,9.375
1,-81.125,11.625
1,-81.125,15.125
1,-80.875,17.375
1,-80.875,13.125
1,-81.125,12.375
1,-81.125,6.875
1,-81.375,6.125
1,-80.375,16.375
1,-80.875,11.625
1,-80.375,14.625
1,-80.375,9.625
1,-80.625,1.375
1,-80.125,17.375
1,-80.125,12.875
1,-80.375,14.125
1,-80.125,10.375
1,-80.625,2.625
1,-80.125,7.125
1,-80.125,4.375
1,-79.625,16.125
1,-79.875,11.625
1,-79.375,17.375
1,-79.875,9.375
1,-79.625,12.875
1,-79.375,10.375
1,-79.625,2.125
1,-79.375,14.375
1,-79.625,7.125
1,-79.125,15.875
1,-78.875,17.375
1,-79.125,9.625
1,-79.375,6.625
1,-78.875,10.875
1,-78.625,16.875
1,-77.875,10.125
1,-77.625,12.625
1,-77.625,10.625
1,-77.375,13.375
1,-77.125,15.625
1,-76.875,10.625
1,-77.125,14.375
1,-76.625,11.875
1,-76.625,17.625
1,-76.625,13.375
1,-76.375,15.625
1,-76.125,16.625
1,-76.125,10.875
1,-76.125,12.125
1,-75.875,17.875
1,-75.875,17.125
2,-92.125,1.625
2,-91.875,0.125
2,-90.875,0.125
2,-89.875,0.625
2,-88.125,16.375
2,-83.125,8.125
2,-82.625,12.375
2,-93.125,8.625
2,-92.875,10.125
2,-92.875,4.375
2,-93.125,9.125
2,-91.875,9.625
2,-91.875,4.125
2,-91.375,9.625
2,-91.375,4.125
2,-90.625,11.125
2,-90.375,10.625
2,-90.125,3.875
2,-90.375,0.375
2,-90.125,2.625
2,-90.125,9.125
2,-89.375,13.375
2,-89.875,3.875
2,-89.375,5.125
2,-89.625,2.625
2,-89.375,8.875
2,-88.375,8.375
2,-87.625,15.875
2,-87.625,8.375
2,-87.625,13.125
2,-86.375,10.125
2,-86.375,7.375
2,-86.125,9.625
2,-85.625,16.125
2,-86.125,7.125
2,-85.625,9.375
2,-85.125,8.375
2,-85.125,7.875
2,-84.875,3.375
2,-84.625,2.875
2,-84.375,7.375
2,-83.625,0.625
2,-83.625,4.125
2,-83.625,0.375
2,-83.125,3.875
2,-82.625,7.125
2,-82.625,0.625
2,-82.125,12.625
2,-82.375,7.875
2,-81.875,14.875
2,-82.125,9.375
2,-81.875,7.125
2,-82.125,0.875
2,-81.125,17.375
2,-81.375,1.375
2,-81.125,0.125
2,-80.875,2.125
2,-80.375,9.625
2,-80.375,15.375
2,-80.375,3.375
2,-79.875,11.875
2,-80.125,1.125
2,-80.125,1.875
2,-79.625,16.875
2,-79.625,9.875
2,-79.625,10.875
2,-79.625,6.125
2,-79.875,2.625
2,-79.375,13.375
2,-79.375,14.875
2,-79.875,6.625
2,-79.125,11.625
2,-79.375,7.875
2,-79.375,7.625
2,-79.625,1.375
2,-78.875,16.375
2,-78.875,10.625
2,-78.875,10.375
2,-78.375,14.375
2,-78.125,16.375
2,-78.375,10.375
2,-77.625,17.625
2,-77.375,14.125
2,-76.875,16.125
2,-76.875,17.625
2,-77.625,4.125
2,-76.375,14.375
2,-77.125,8.625
2,-76.375,9.625
2,-76.375,16.375
2,-76.375,17.625
2,-76.125,15.375
2,-76.125,13.875
2,-75.875,12.125
2,-76.625,9.875
2,-76.125,9.375
2,-75.625,13.625
2,-75.625,15.375
2,-75.625,12.125
2,-93.375,12.625
2,-93.125,11.125
2,-93.375,8.125
2,-92.625,12.625
2,-92.875,8.875
2,-92.625,10.875
2,-92.875,7.875
2,-92.125,12.875
2,-91.625,9.375
2,-91.875,13.625
2,-91.375,11.875
2,-91.375,12.625
2,-91.375,9.125
2,-90.625,13.625
2,-90.375,11.625
2,-90.125,13.625
2,-90.375,11.375
2,-89.875,13.125
2,-90.125,0.125
2,-89.625,8.875
2,-89.625,7.875
2,-89.125,10.625
2,-89.125,13.125
2,-89.375,4.875
2,-88.875,9.625
2,-88.875,7.375
2,-88.875,12.625
2,-88.375,9.875
2,-88.625,10.375
2,-87.875,17.375
2,-88.125,8.625
2,-88.375,7.375
2,-87.875,16.125
2,-87.875,10.375
2,-87.375,8.625
2,-87.125,16.375
2,-87.375,9.625
2,-86.625,17.875
2,-86.625,17.125
2,-86.375,16.125
2,-86.875,8.625
2,-86.125,16.375
2,-86.375,9.125
2,-86.125,17.375
2,-86.125,5.625
2,-85.875,9.875
2,-85.125,16.125
2,-85.125,8.625
2,-85.125,8.125
2,-85.625,5.625
2,-84.625,9.375
2,-84.375,16.375
2,-84.875,9.125
2,-84.375,8.125
2,-84.375,9.375
2,-83.875,16.375
2,-83.875,17.375
2,-83.875,7.625
2,-83.875,7.875
2,-83.125,16.375
2,-83.125,17.125
2,-83.125,7.625
2,-82.375,10.375
2,-82.625,8.125
2,-82.125,17.875
2,-82.125,11.875
2,-82.125,9.625
2,-82.625,7.375
2,-81.625,12.875
2,-81.875,1.375
2,-81.875,6.625
2,-81.375,17.875
2,-81.625,10.375
2,-81.625,9.375
2,-81.125,11.625
2,-81.125,15.125
2,-80.875,17.375
2,-80.875,13.125
2,-81.125,12.375
2,-81.125,6.875
2,-81.375,6.125
2,-80.375,16.375
2,-80.875,11.625
2,-80.375,14.625
2,-80.125,9.625
2,-80.625,1.375
2,-80.125,17.375
2,-80.125,12.875
2,-80.375,14.125
2,-80.125,10.375
2,-80.375,2.625
2,-80.125,7.125
2,-80.125,4.375
2,-79.625,16.125
2,-79.875,11.625
2,-79.375,17.375
2,-79.875,9.375
2,-79.625,12.875
2,-79.375,10.375
2,-79.625,2.125
2,-79.375,14.375
2,-79.625,7.125
2,-79.125,15.875
2,-78.875,17.375
2,-79.375,9.625
2,-79.375,6.625
2,-78.875,10.875
2,-78.625,16.875
2,-77.875,10.375
2,-77.625,12.625
2,-77.625,10.625
2,-77.375,13.375
2,-77.125,15.625
2,-76.875,10.875
2,-76.875,14.375
2,-76.625,11.875
2,-76.625,17.625
2,-76.625,13.375
2,-76.375,15.625
2,-76.125,16.625
2,-75.625,10.625
2,-76.125,12.125
2,-75.875,17.875
2,-75.875,17.125
3,-92.125,1.625
3,-91.875,0.125
3,-90.875,0.125
3,-89.625,0.875
3,-88.125,16.375
3,-83.125,8.125
3,-82.375,12.375
3,-92.875,8.875
3,-92.875,10.125
3,-92.375,4.375
3,-93.125,9.125
3,-91.875,9.625
3,-92.125,4.125
3,-91.375,9.625
3,-91.375,4.125
3,-90.375,11.125
3,-90.375,10.625
3,-90.375,3.625
3,-90.375,0.125
3,-90.125,2.625
3,-89.875,9.125
3,-89.375,13.375
3,-89.875,3.875
3,-89.375,5.125
3,-89.625,2.625
3,-89.375,8.875
3,-88.375,8.375
3,-87.625,15.875
3,-87.625,8.375
3,-87.625,13.125
3,-86.375,10.125
3,-86.625,7.375
3,-86.125,9.625
3,-85.625,16.125
3,-86.125,7.125
3,-85.625,9.375
3,-85.375,8.375
3,-85.125,7.875
3,-84.875,3.375
3,-84.625,2.875
3,-84.375,7.375
3,-83.125,0.875
3,-83.625,4.125
3,-83.625,0.375
3,-83.125,3.875
3,-82.625,7.125
3,-82.625,0.625
3,-82.125,12.625
3,-82.375,7.875
3,-81.875,14.875
3,-82.125,9.375
3,-81.875,7.125
3,-82.125,0.875
3,-81.125,17.375
3,-81.375,1.375
3,-81.125,0.125
3,-80.875,2.125
3,-80.375,9.625
3,-80.375,15.375
3,-80.375,3.375
3,-79.875,11.875
3,-80.125,1.125
3,-80.125,1.875
3,-79.625,16.875
3,-79.625,9.875
3,-79.625,10.875
3,-79.625,6.125
3,-79.875,2.625
3,-79.375,13.375
3,-79.375,14.875
3,-79.875,6.625
3,-79.125,11.625
3,-79.375,7.875
3,-79.375,7.625
3,-79.625,1.375
3,-78.875,16.375
3,-78.875,10.625
3,-78.875,10.375
3,-78.375,14.375
3,-78.125,16.375
3,-78.375,10.375
3,-77.625,17.625
3,-77.625,14.625
3,-76.875,16.125
3,-76.875,17.625
3,-77.625,4.125
3,-76.375,14.125
3,-77.125,8.625
3,-76.375,9.625
3,-76.375,16.375
3,-76.375,17.625
3,-76.125,15.375
3,-76.125,13.875
3,-75.875,12.125
3,-76.125,9.625
3,-76.125,9.375
3,-75.625,14.125
3,-75.625,15.375
3,-75.625,11.875
3,-93.375,12.875
3,-93.125,11.125
3,-93.375,8.125
3,-92.625,12.625
3,-92.875,8.875
3,-92.625,10.875
3,-92.875,7.875
3,-91.875,13.125
3,-91.625,9.375
3,-91.625,13.125
3,-91.375,11.875
3,-91.375,12.625
3,-91.375,9.125
3,-90.625,13.625
3,-90.375,11.625
3,-90.125,13.625
3,-89.875,11.125
3,-89.875,13.125
3,-90.125,0.125
3,-89.625,8.875
3,-89.625,7.875
3,-89.125,10.625
3,-89.125,13.125
3,-89.375,4.875
3,-88.875,9.375
3,-88.875,7.375
3,-89.125,12.625
3,-88.375,9.875
3,-88.625,10.375
3,-87.875,17.375
3,-88.125,8.625
3,-88.375,7.375
3,-87.875,16.125
3,-87.875,10.125
3,-87.375,8.625
3,-87.125,16.375
3,-87.375,9.625
3,-86.625,17.875
3,-86.625,17.125
3,-86.375,16.125
3,-86.875,8.625
3,-86.125,16.375
3,-86.375,9.125
3,-86.375,17.875
3,-86.125,5.625
3,-85.875,9.875
3,-85.125,16.125
3,-85.375,8.375
3,-85.125,8.125
3,-85.625,5.625
3,-84.625,9.375
3,-84.625,16.375
3,-84.875,9.125
3,-84.875,8.375
3,-84.375,9.375
3,-83.875,16.375
3,-83.875,17.375
3,-83.875,7.625
3,-83.625,7.875
3,-83.125,16.375
3,-83.375,17.375
3,-83.125,7.625
3,-82.375,10.375
3,-82.625,8.125
3,-81.875,17.875
3,-82.125,11.875
3,-82.125,9.625
3,-82.875,7.125
3,-81.625,12.875
3,-81.875,1.375
3,-81.875,6.625
3,-81.375,17.875
3,-81.625,10.375
