,geometry
272,POINT (-92.625 14.125)
273,POINT (-92.625 14.375)
274,POINT (-92.625 14.625)
275,POINT (-92.625 14.875)
276,POINT (-92.625 15.125)
277,POINT (-92.625 15.375)
278,POINT (-92.625 15.625)
279,POINT (-92.625 15.875)
280,POINT (-92.625 16.125)
281,POINT (-92.625 16.375)
282,POINT (-92.625 16.625)
283,POINT (-92.625 16.875)
284,POINT (-92.625 17.125)
285,POINT (-92.625 17.375)
286,POINT (-92.625 17.625)
287,POINT (-92.625 17.875)
288,POINT (-92.375 0.125)
289,POINT (-92.375 0.375)
290,POINT (-92.375 0.625)
291,POINT (-92.375 0.875)
292,POINT (-92.375 1.125)
293,POINT (-92.375 1.375)
294,POINT (-92.375 1.625)
295,POINT (-92.375 1.875)
296,POINT (-92.375 2.125)
297,POINT (-92.375 2.375)
298,POINT (-92.375 2.625)
299,POINT (-92.375 2.875)
300,POINT (-92.375 3.125)
301,POINT (-92.375 3.375)
302,POINT (-92.375 3.625)
303,POINT (-92.375 3.875)
304,POINT (-92.375 4.125)
305,POINT (-92.375 4.375)
306,POINT (-92.375 4.625)
307,POINT (-92.375 4.875)
308,POINT (-92.375 5.125)
309,POINT (-92.375 5.375)
310,POINT (-92.375 5.625)
311,POINT (-92.375 5.875)
312,POINT (-92.375 6.125)
313,POINT (-92.375 6.375)
314,POINT (-92.375 6.625)
315,POINT (-92.375 6.875)
316,POINT (-92.375 7.125)
317,POINT (-92.375 7.375)
318,POINT (-92.375 7.625)
319,POINT (-92.375 7.875)
320,POINT (-92.375 8.125)
321,POINT (-92.375 8.375)
322,POINT (-92.375 8.625)
323,POINT (-92.375 8.875)
324,POINT (-92.375 9.125)
325,POINT (-92.375 9.375)
326,POINT (-92.375 9.625)
327,POINT (-92.375 9.875)
328,POINT (-92.375 10.125)
329,POINT (-92.375 10.375)
330,POINT (-92.375 10.625)
331,POINT (-92.375 10.875)
332,POINT (-92.375 11.125)
333,POINT (-92.375 11.375)
334,POINT (-92.375 11.625)
335,POINT (-92.375 11.875)
336,POINT (-92.375 12.125)
337,POINT (-92.375 12.375)
338,POINT (-92.375 12.625)
339,POINT (-92.375 12.875)
340,POINT (-92.375 13.125)
341,POINT (-92.375 13.375)
342,POINT (-92.375 13.625)
343,POINT (-92.375 13.875)
344,POINT (-92.375 14.125)
345,POINT (-92.375 14.375)
346,POINT (-92.375 14.625)
347,POINT (-92.375 14.875)
348,POINT (-92.375 15.125)
349,POINT (-92.375 15.375)
350,POINT (-92.375 15.625)
351,POINT (-92.375 15.875)
352,POINT (-92.375 16.125)
353,POINT (-92.375 16.375)
354,POINT (-92.375 16.625)
355,POINT (-92.375 16.875)
356,POINT (-92.375 17.125)
357,POINT (-92.375 17.375)
358,POINT (-92.375 17.625)
359,POINT (-92.375 17.875)
360,POINT (-92.125 0.125)
361,POINT (-92.125 0.375)
362,POINT (-92.125 0.625)
363,POINT (-92.125 0.875)
